City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Rikitea,PF,79.79,clear sky,-23.1203,-134.9692,Pension Maro'i
12,Kavieng,PG,84.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
18,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Vao,NC,77.95,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
20,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
23,Buala,SB,83.79,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
25,Ugoofaaru,MV,82.17,overcast clouds,5.6667,73.0,Ungoofaaru Inn
27,Poum,NC,81.16,clear sky,-20.2333,164.0167,Gîte kajeon
32,Palauig,PH,81.09,overcast clouds,15.435,119.9045,Myhousebythesea
35,Atuona,PF,80.94,light rain,-9.8,-139.0333,Villa Enata
39,Pocone,BR,83.3,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
43,Esmeralda,CU,80.6,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
45,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
46,San Patricio,US,89.6,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
49,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
50,Pantai Remis,MY,75.2,few clouds,4.4557,100.6288,Leisure Homestay
56,Caravelas,BR,76.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
59,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
62,San Miguel Ixtahuacan,GT,78.8,clear sky,15.25,-91.75,Aldea Baljetre
69,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Katy,US,81.0,haze,29.7858,-95.8244,Hilton Garden Inn Houston West Katy
72,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
80,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Sabya,SA,78.8,clear sky,17.1495,42.6254,Aseel Hotel Apartment
84,Vung Tau,VN,79.54,broken clouds,10.346,107.0843,Green hotel
88,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
92,Boa Vista,BR,86.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
94,Nhulunbuy,AU,77.0,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
95,Turbat,PK,76.37,scattered clouds,26.0023,63.044,Mubashar Quarters
97,Ahuimanu,US,84.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
98,Camacari,BR,80.6,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
101,Oussouye,SN,75.2,clear sky,12.485,-16.5469,Auberge du Routard
105,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
111,Waingapu,ID,79.32,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
112,Tulum,MX,82.99,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
114,Ukiah,US,80.6,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
118,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
119,Jaisalmer,IN,80.15,clear sky,26.9147,70.9181,Hotel Fifu
136,Fuerte Olimpo,PY,80.49,heavy intensity rain,-21.0415,-57.8738,Hospedaje DAMI
138,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
142,Lake City,US,82.4,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
146,Talara,PE,78.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
147,Nizwa,OM,76.41,few clouds,22.9333,57.5333,Orient Apartments
154,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Ontario,US,81.0,few clouds,34.0633,-117.6509,American Inn
166,Tutoia,BR,76.57,overcast clouds,-2.7619,-42.2744,Pousada Guará's
172,Kalmunai,LK,78.04,overcast clouds,7.4167,81.8167,VS Villa
173,Peruibe,BR,77.13,clear sky,-24.32,-46.9983,Hotel Pousada Xapuri
175,Coronado,US,75.99,few clouds,32.6859,-117.1831,The El Cordova Hotel
179,Ambon,ID,77.0,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
180,Brokopondo,SR,76.53,broken clouds,4.75,-55.1667,Matu Island
185,Isangel,VU,82.4,few clouds,-19.55,169.2667,Volcano Sea View Tree House
186,Victoria,HK,75.0,few clouds,22.2855,114.1577,Mini Hotel Central
187,Sitio Novo Do Tocantins,BR,84.2,few clouds,-5.5183,-47.4611,Imperial Hotel
188,Cabo San Lucas,MX,79.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
194,Port Blair,IN,80.62,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
199,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
201,Inirida,CO,75.6,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
205,Tayoltita,MX,81.39,scattered clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
207,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Eufaula,US,84.2,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
218,Kavaratti,IN,82.51,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
220,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
224,Ternate,ID,79.81,heavy intensity rain,0.8,127.4,Grand Dafam Bela Ternate
225,Panama City,PA,89.6,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
227,Shwebo,MM,79.16,overcast clouds,22.5667,95.7,MOON SHINE Guest House
228,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
229,Trenggalek,ID,75.2,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
233,Itarema,BR,76.28,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
236,Manaure,CO,82.53,scattered clouds,11.7751,-72.4445,Hotel Palaaima
238,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
240,Kampot,KH,82.4,few clouds,10.6167,104.1833,Two Moons Hotel
245,Nang Rong,TH,84.0,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
246,Rajula,IN,81.64,clear sky,21.05,71.4333,Lion Lords Inn Rajula
247,Outram,MY,77.0,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
248,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
250,Tual,ID,80.91,light rain,-5.6667,132.75,Grand Vilia Hotel
252,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
256,Mahibadhoo,MV,79.39,overcast clouds,3.7833,72.9667,Omadhoo Inn
257,Amahai,ID,77.13,moderate rain,-3.3333,128.9167,HOTEL ISABELA
261,Half Moon Bay,US,75.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
263,Alice Town,BS,76.96,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
282,Puerto Carreno,CO,85.05,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
286,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
287,Ashta,IN,78.03,clear sky,23.0167,76.7167,Digambar Jain Dharamshala
300,Benguela,AO,77.34,broken clouds,-12.5763,13.4055,Hotel Praia Morena
301,Fare,PF,82.26,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
303,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
310,Barisal,BD,75.0,scattered clouds,22.7019,90.3711,Hotel Arefin Residential
312,Ambulu,ID,75.52,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
316,Matadi,CD,76.93,overcast clouds,-5.8167,13.45,Hotel Fortune
317,The Valley,AI,78.8,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
320,Abonnema,NG,80.6,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
323,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
326,Bartica,GY,78.8,few clouds,6.4,-58.6167,Relax Inn Hotel
328,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
329,Mamallapuram,IN,77.0,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
332,Sur,OM,81.7,broken clouds,22.5667,59.5289,Sur Plaza Hotel
335,Santa Clara,CU,80.6,light rain,22.4,-79.9667,El Carmen
339,Kokopo,PG,82.45,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
342,Nacogdoches,US,81.0,broken clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
345,Basco,PH,79.74,clear sky,20.4487,121.9702,Nathaniel's Lodge
346,Adiake,CI,80.6,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
349,Khirkiya,IN,80.08,clear sky,22.1674,76.8605,Sanjay Industries
352,Souillac,MU,75.2,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
360,Sola,VU,82.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
370,Guider,CM,83.71,broken clouds,9.9342,13.9486,Hotel Falaise
373,Sokoni,TZ,80.83,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
375,Kuching,MY,77.0,few clouds,1.55,110.3333,The Ranee Boutique Suites
382,Karratha,AU,81.84,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
383,Anori,BR,75.02,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
387,Sassandra,CI,77.05,light rain,4.95,-6.0833,la terrasse
390,Kulhudhuffushi,MV,83.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
391,Dicabisagan,PH,77.97,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
399,Ipixuna,BR,75.2,clear sky,-1.7625,-48.8043,Casa da Oscarina
401,Jacarezinho,BR,75.31,scattered clouds,-23.1606,-49.9694,Hotel Avenida
402,Maragogi,BR,76.6,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
405,Phonhong,LA,77.0,mist,18.5007,102.4166,Manyvong Guest House
417,Fortuna Foothills,US,80.6,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
419,Nishihara,JP,75.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
421,Honiara,SB,86.74,few clouds,-9.4333,159.95,Heritage Park Hotel
422,Wad Madani,SD,81.66,clear sky,14.4012,33.5199,فندق يوغسلافيا
429,Chumphon,TH,77.0,scattered clouds,10.3333,98.8333,สกาน จ๋า.
431,Daru,PG,83.5,overcast clouds,-9.0763,143.2092,Daru Lodge
434,Port Macquarie,AU,75.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
435,Laguna,US,77.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
436,Batticaloa,LK,78.78,broken clouds,7.7102,81.6924,Grand Star Guest House
437,Cabedelo,BR,80.6,broken clouds,-6.9811,-34.8339,Hotel Pigalle
438,Kimbe,PG,82.89,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
443,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
445,Uaua,BR,79.95,few clouds,-9.8414,-39.4817,Hotel Uauá
446,Port Keats,AU,81.01,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
447,Port Hedland,AU,80.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
450,Buin,CL,84.2,clear sky,-33.7333,-70.75,Paihuen
451,Ambunti,PG,77.95,light rain,-4.2365,142.8448,Ambunti Lodge
456,Namatanai,PG,83.8,light rain,-3.6667,152.4333,Namatanai Hotel
458,Puerto Colombia,CO,82.4,clear sky,10.9878,-74.9547,Hotel El Emigrante
463,Paita,PE,78.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
467,Seminole,US,84.99,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
470,Monrovia,LR,78.8,scattered clouds,6.3005,-10.7969,Sunset Inn
473,Ojinaga,MX,80.6,clear sky,29.5667,-104.4167,Suites Las Palmas
474,Hervey Bay,AU,81.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
479,Bambanglipuro,ID,76.35,broken clouds,-7.95,110.2833,Puri Brata
480,Yulara,AU,75.2,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
486,San Joaquin,US,79.0,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
489,Douentza,ML,80.6,clear sky,14.9951,-2.9517,Ogomono Doumbo
490,Palembang,ID,75.2,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
492,Pa Sang,TH,81.0,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
506,Tabou,CI,77.92,light rain,4.423,-7.3528,hotêl doufoulougou
507,Kinkala,CG,75.2,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
510,Nalvo,PH,76.08,broken clouds,16.8096,120.5108,SABALO RESIDENCE
511,Ravar,IR,75.04,few clouds,31.2656,56.8055,computertik
513,Dingle,PH,77.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
518,Manoel Urbano,BR,76.77,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
524,Samarai,PG,84.29,broken clouds,-10.6167,150.6667,Nuli Sapi
525,Eyl,SO,77.77,broken clouds,7.9803,49.8164,Amiin Hotel
527,Vanimo,PG,80.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
531,Tevaitoa,PF,82.22,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
534,Barra Do Bugres,BR,79.3,scattered clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
539,Dawei,MM,75.7,light rain,14.0833,98.2,Hotel Dawei
540,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
542,Oriximina,BR,76.96,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
550,San Nicolas,PH,77.0,few clouds,18.1725,120.5953,NORTHVIEW Hotel
552,Mangrol,IN,78.12,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
554,Eirunepe,BR,75.72,overcast clouds,-6.6603,-69.8736,Atrás de você
558,Canavieiras,BR,75.96,clear sky,-15.675,-38.9472,Bahiadomizil
560,Hatillo,PR,78.01,broken clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
565,Srandakan,ID,76.46,broken clouds,-7.9386,110.2506,Puri Brata
577,Halvad,IN,79.93,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
579,Ishigaki,JP,75.2,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
581,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
583,Merauke,ID,81.19,scattered clouds,-8.4667,140.3333,PC
590,Tomatlan,MX,84.4,overcast clouds,19.9333,-105.25,Norma franco
602,Maraba,BR,77.0,clear sky,-5.3686,-49.1178,Hotel Del Principe
605,Bubaque,GW,76.28,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
607,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
608,Rincon,US,81.0,broken clouds,32.296,-81.2354,Days Inn Rincon
618,Sarh,TD,86.0,light rain,9.1429,18.3923,Hôtel des Chasses
620,Garissa,KE,81.97,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
622,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
626,Cayenne,GF,80.01,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
632,Tanete,ID,75.52,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
634,Sao Joao Da Barra,BR,77.58,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
638,Gwadar,PK,76.73,broken clouds,25.1216,62.3254,Sadaf Resort
639,Bataipora,BR,79.03,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
645,Hobyo,SO,79.92,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
649,Meulaboh,ID,75.88,broken clouds,4.1363,96.1285,Kost Pria
651,Labuhan,ID,78.04,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
654,Kapoeta,SS,81.32,overcast clouds,4.7717,33.5903,Eastgate Hotel
656,Porto Walter,BR,75.22,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
657,Berbera,SO,76.37,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
660,Ilhabela,BR,78.3,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
661,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
663,Tondano,ID,77.0,moderate rain,1.3038,124.9112,Villa Bella
672,Jacobina,BR,75.18,overcast clouds,-11.1806,-40.5183,HOSTEL JACOBINA
675,Vieques,PR,78.8,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
676,Dondo,MZ,78.8,light rain,-19.6094,34.7431,Arco Iris
680,Dori,BF,79.79,clear sky,14.0354,-0.0345,Hôtel Liptako
687,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
689,Atar,MR,79.45,clear sky,20.5169,-13.0499,Oumou Elghoura
692,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
699,Hanahan,US,79.0,broken clouds,32.9185,-80.022,Hampton Inn Charleston-North
700,Playa Del Carmen,MX,82.4,scattered clouds,20.6274,-87.0799,Hotel Kinbe
703,Kharakvasla,IN,78.19,clear sky,18.4333,73.7667,The Heritage Resort
705,Santa Rosa,PH,82.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
706,Bida,NG,82.72,scattered clouds,9.0833,6.0167,Royal Suite
710,Pochutla,MX,89.6,clear sky,15.7432,-96.4661,Hotel Posada San Jose
711,Mareeba,AU,79.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
717,Cairns,AU,79.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
722,Riyadh,SA,75.2,dust,24.6877,46.7219,InterContinental Riyadh
724,Sinnamary,GF,76.77,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
729,Wad Rawah,SD,78.71,clear sky,15.1603,33.1397,ود الترابي
