City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,69.3,88,100,3.67,overcast clouds
1,Hobart,AU,-42.8794,147.3294,61.0,63,40,14.97,scattered clouds
2,Roma,US,43.2128,-75.4557,48.2,57,1,6.91,clear sky
3,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
4,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,69,0,10.36,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,51.01,62,20,43.73,light rain
6,Qesarya,IL,32.5189,34.9046,57.2,54,40,2.3,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,79.79,68,1,18.05,clear sky
8,Winchester,GB,51.0651,-1.3187,48.99,87,75,10.36,broken clouds
9,Ushuaia,AR,-54.8,-68.3,55.4,76,40,17.27,moderate rain
10,Kaitangata,NZ,-46.2817,169.8464,64.0,80,100,8.01,overcast clouds
11,Dikson,RU,73.5069,80.5464,-20.81,100,98,8.03,overcast clouds
12,Kavieng,PG,-2.5744,150.7967,84.0,72,100,15.39,overcast clouds
13,Pingliang,CN,35.5392,106.6861,49.41,29,0,3.78,clear sky
14,Encheng,CN,22.1839,112.3026,72.07,90,58,3.13,broken clouds
15,Katangli,RU,51.7102,143.2326,20.5,90,30,8.61,scattered clouds
16,Pokosnoye,RU,55.5258,101.0536,18.28,95,99,2.57,overcast clouds
17,Iqaluit,CA,63.7506,-68.5145,-7.01,71,75,2.26,broken clouds
18,Kapaa,US,22.0752,-159.319,78.8,69,20,14.97,few clouds
19,Vao,NC,-22.6667,167.4833,77.95,79,12,13.06,few clouds
20,Hithadhoo,MV,-0.6,73.0833,83.37,74,100,16.64,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,40,6.91,scattered clouds
22,Havoysund,NO,70.9963,24.6622,39.2,75,75,11.5,broken clouds
23,Buala,SB,-8.145,159.5921,83.79,75,64,9.98,moderate rain
24,Upernavik,GL,72.7868,-56.1549,-29.34,92,16,5.08,few clouds
25,Ugoofaaru,MV,5.6667,73.0,82.17,75,100,14.56,overcast clouds
26,Iwaki,JP,37.05,140.8833,62.01,75,100,5.01,overcast clouds
27,Poum,NC,-20.2333,164.0167,81.16,72,3,8.05,clear sky
28,Port Alfred,ZA,-33.5906,26.891,63.36,74,49,8.86,scattered clouds
29,Gushikawa,JP,26.3544,127.8686,73.4,83,75,13.8,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,-12.77,86,99,5.88,overcast clouds
31,Kodiak,US,57.79,-152.4072,35.6,38,1,28.77,clear sky
32,Palauig,PH,15.435,119.9045,81.09,69,97,1.99,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,59.0,90,99,4.0,overcast clouds
34,Srednekolymsk,RU,67.45,153.6833,-2.25,79,97,2.19,overcast clouds
35,Atuona,PF,-9.8,-139.0333,80.94,78,69,20.87,light rain
36,Severodvinsk,RU,64.5635,39.8302,26.6,80,0,4.47,clear sky
37,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.23,96,72,3.0,heavy intensity rain
38,Bluff,NZ,-46.6,168.3333,59.0,90,100,4.0,overcast clouds
39,Pocone,BR,-16.2567,-56.6228,83.3,49,24,5.28,few clouds
40,Busselton,AU,-33.65,115.3333,52.0,89,0,7.47,clear sky
41,Shingu,JP,33.7333,135.9833,62.6,72,75,17.27,broken clouds
42,Pevek,RU,69.7008,170.3133,-9.53,92,63,6.58,broken clouds
43,Esmeralda,CU,21.8525,-78.1169,80.6,65,20,19.57,few clouds
44,Seoul,KR,37.5683,126.9778,48.2,93,90,13.8,mist
45,Butaritari,KI,3.0707,172.7902,81.52,78,90,13.22,light rain
46,San Patricio,US,28.017,-97.5169,89.6,65,75,21.85,broken clouds
47,New Norfolk,AU,-42.7826,147.0587,57.99,91,100,4.43,overcast clouds
48,Tuatapere,NZ,-46.1333,167.6833,59.0,90,100,4.0,light rain
49,Kloulklubed,PW,7.0419,134.2556,82.4,78,75,9.22,broken clouds
50,Pantai Remis,MY,4.4557,100.6288,75.2,100,20,2.3,few clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,90,23.02,light rain
52,Gijon,ES,43.5357,-5.6615,48.99,88,5,4.47,clear sky
53,Sebinkarahisar,TR,40.2883,38.4236,12.87,85,59,4.85,broken clouds
54,Cidreira,BR,-30.1811,-50.2056,73.78,86,100,5.14,light rain
55,Yellowknife,CA,62.456,-114.3525,27.0,50,20,14.97,few clouds
56,Caravelas,BR,-17.7125,-39.2481,76.15,75,4,5.12,clear sky
57,Traiguen,CL,-38.25,-72.6833,59.56,55,0,7.96,clear sky
58,Ostrovnoy,RU,68.0531,39.5131,31.66,88,93,23.44,overcast clouds
59,Salalah,OM,17.0151,54.0924,77.0,44,0,3.44,clear sky
60,Dongsheng,CN,39.8161,109.9776,30.78,43,59,12.12,broken clouds
61,Stranraer,GB,54.9023,-5.0273,50.0,96,100,5.01,overcast clouds
62,San Miguel Ixtahuacan,GT,15.25,-91.75,78.8,25,0,11.5,clear sky
63,East London,ZA,-33.0153,27.9116,65.86,73,83,12.24,broken clouds
64,Mayo,US,38.8876,-76.5119,60.8,58,1,10.36,clear sky
65,San Cristobal,VE,7.7669,-72.225,73.4,94,75,2.3,fog
66,Bangassou,CF,4.7413,22.8184,71.33,75,94,2.55,overcast clouds
67,Hamilton,US,39.1834,-84.5333,72.0,43,40,11.5,scattered clouds
68,Springbok,ZA,-29.6643,17.8865,57.97,48,31,6.13,scattered clouds
69,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,5.75,clear sky
70,Katy,US,29.7858,-95.8244,81.0,69,90,12.66,haze
71,Cape Town,ZA,-33.9258,18.4232,63.0,63,0,6.91,clear sky
72,Padang,ID,-0.9492,100.3543,77.0,94,75,10.36,broken clouds
73,Raudeberg,NO,61.9875,5.1352,39.99,90,87,14.14,overcast clouds
74,Waitati,NZ,-45.75,170.5667,64.0,79,91,10.0,overcast clouds
75,Albany,US,42.6001,-73.9662,54.0,50,81,3.76,broken clouds
76,Bengkulu,ID,-3.8004,102.2655,74.98,85,100,4.23,overcast clouds
77,Beringovskiy,RU,63.05,179.3167,4.73,88,100,9.84,overcast clouds
78,Ballina,AU,-28.8667,153.5667,73.99,64,0,6.91,clear sky
79,Erdenet,MN,49.0333,104.0833,15.22,94,29,3.36,scattered clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,11.5,few clouds
81,Bati,ET,11.1833,40.0167,62.83,32,22,4.18,few clouds
82,Palana,RU,59.1167,159.9667,4.23,84,100,5.41,overcast clouds
83,Sabya,SA,17.1495,42.6254,78.8,73,0,4.61,clear sky
84,Vung Tau,VN,10.346,107.0843,79.54,80,60,17.34,broken clouds
85,Leningradskiy,RU,69.3833,178.4167,-5.4,87,42,8.16,scattered clouds
86,Tigil,RU,57.8,158.6667,4.66,90,100,7.09,overcast clouds
87,Rafai,CF,4.95,23.9167,70.21,76,40,2.93,scattered clouds
88,Georgetown,MY,5.4112,100.3354,80.6,94,40,4.61,scattered clouds
89,Zlotow,PL,53.3635,17.0408,39.0,95,99,8.99,light rain
90,Cam Ranh,VN,11.9214,109.1591,73.4,94,20,4.61,few clouds
91,Besancon,FR,47.2488,6.0182,37.0,70,25,2.89,scattered clouds
92,Boa Vista,BR,2.8197,-60.6733,86.0,54,75,8.05,light rain
93,Geraldton,AU,-28.7667,114.6,59.0,82,5,5.75,clear sky
94,Nhulunbuy,AU,-12.2333,136.7667,77.0,88,75,16.11,moderate rain
95,Turbat,PK,26.0023,63.044,76.37,60,50,3.53,scattered clouds
96,Pervomayskoye,RU,43.919,46.7102,44.44,73,100,9.17,overcast clouds
97,Ahuimanu,US,21.4447,-157.8378,84.2,48,40,18.41,scattered clouds
98,Camacari,BR,-12.6975,-38.3242,80.6,65,40,6.91,scattered clouds
99,General Roca,AR,-39.0333,-67.5833,69.8,21,0,4.61,clear sky
100,Portland,US,45.5234,-122.6762,64.99,44,75,4.61,broken clouds
101,Oussouye,SN,12.485,-16.5469,75.2,83,0,9.22,clear sky
102,Kamenka,RU,51.3223,42.7678,36.0,84,100,8.19,overcast clouds
103,Vardo,NO,70.3705,31.1107,36.86,94,100,20.51,overcast clouds
104,Santa Cruz,BO,-17.8,-63.1667,69.8,94,75,14.97,broken clouds
105,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,18.41,scattered clouds
106,Saskylakh,RU,71.9167,114.0833,-14.01,100,100,0.81,overcast clouds
107,Castro,BR,-24.7911,-50.0119,67.08,87,91,2.95,light rain
108,Burns Lake,CA,54.2331,-125.7533,42.8,49,100,10.36,overcast clouds
109,Stony Plain,CA,53.5334,-114.0021,48.2,53,75,11.5,broken clouds
110,Araouane,ML,18.9048,-3.5265,76.05,7,0,11.61,clear sky
111,Waingapu,ID,-9.6567,120.2641,79.32,82,93,4.76,moderate rain
112,Tulum,MX,20.2167,-87.4667,82.99,69,40,11.5,scattered clouds
113,Ponta Do Sol,PT,32.6667,-17.1,64.4,88,75,14.97,broken clouds
114,Ukiah,US,39.1502,-123.2078,80.6,21,1,3.44,clear sky
115,Hermanus,ZA,-34.4187,19.2345,57.0,80,5,1.01,clear sky
116,Carnarvon,AU,-24.8667,113.6333,71.6,88,0,5.5,clear sky
117,Hasaki,JP,35.7333,140.8333,63.0,72,75,12.66,broken clouds
118,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,5.75,clear sky
119,Jaisalmer,IN,26.9147,70.9181,80.15,18,0,11.54,clear sky
120,Lebu,CL,-37.6167,-73.65,56.59,86,14,18.95,few clouds
121,Nikolskoye,RU,59.7035,30.7861,39.99,70,0,6.71,clear sky
122,Ziway,ET,7.9333,38.7167,68.92,27,100,14.27,overcast clouds
123,Aswan,EG,24.0934,32.907,61.07,26,0,15.1,clear sky
124,Esperance,AU,-33.8667,121.9,57.2,94,40,6.91,scattered clouds
125,Sao Filipe,CV,14.8961,-24.4956,70.36,72,2,20.18,clear sky
126,Ginda,IN,30.6945,78.4932,53.38,26,1,7.65,clear sky
127,Campos Novos,BR,-27.4017,-51.225,63.3,97,100,2.24,moderate rain
128,Landerneau,FR,48.4525,-4.2525,48.2,81,0,9.22,clear sky
129,Tyulyachi,RU,55.8913,50.2399,30.2,64,0,8.95,light snow
130,Ornskoldsvik,SE,63.2909,18.7153,35.6,100,90,2.3,mist
131,Ribeira Grande,PT,38.5167,-28.7,60.42,83,91,8.52,overcast clouds
132,Itoman,JP,26.1247,127.6694,73.4,88,75,18.41,broken clouds
133,Norman Wells,CA,65.282,-126.8329,12.2,73,75,12.66,light snow
134,Kyren,RU,51.6828,102.1408,16.95,76,13,3.0,few clouds
135,Severo-Kurilsk,RU,50.6789,156.125,27.16,82,100,36.28,light snow
136,Fuerte Olimpo,PY,-21.0415,-57.8738,80.49,69,98,6.04,heavy intensity rain
137,Methoni,GR,36.8197,21.7049,52.0,81,82,4.61,broken clouds
138,Vaini,TO,-21.2,-175.2,86.0,74,75,6.91,broken clouds
139,Maarianhamina,AX,60.0973,19.9348,41.0,81,0,10.36,clear sky
140,Sangar,RU,63.9242,127.4739,15.06,94,100,4.25,light snow
141,Broken Hill,AU,-31.95,141.4333,59.0,63,10,11.5,clear sky
142,Lake City,US,30.1897,-82.6393,82.4,54,40,3.44,scattered clouds
143,Tazovskiy,RU,67.4667,78.7,-0.76,97,94,9.57,overcast clouds
144,New Albany,US,38.2856,-85.8241,70.0,68,75,14.97,broken clouds
145,Xichang,CN,27.8964,102.2634,51.69,73,1,1.43,clear sky
146,Talara,PE,-4.5772,-81.2719,78.8,65,0,10.36,clear sky
147,Nizwa,OM,22.9333,57.5333,76.41,33,16,2.04,few clouds
148,Jamestown,US,42.097,-79.2353,60.8,44,1,5.53,clear sky
149,Babushkin,RU,51.7122,105.8647,15.73,86,24,6.98,few clouds
150,Fort Nelson,CA,58.8053,-122.7002,41.0,45,90,6.91,overcast clouds
151,Benalla,AU,-36.55,145.9833,53.6,94,90,2.3,overcast clouds
152,Astoria,US,46.1879,-123.8313,54.0,66,1,11.5,clear sky
153,Kashi,CN,39.4547,75.9797,59.0,26,75,6.71,dust
154,Grand Gaube,MU,-20.0064,57.6608,77.0,82,92,1.99,overcast clouds
155,Bredasdorp,ZA,-34.5322,20.0403,55.4,76,29,5.75,scattered clouds
156,Mahebourg,MU,-20.4081,57.7,75.2,88,75,5.75,broken clouds
157,Santa Maria,BR,-29.6842,-53.8069,71.6,100,75,2.3,broken clouds
158,Lavrentiya,RU,65.5833,-171.0,-2.42,84,13,3.94,few clouds
159,Ola,RU,59.5833,151.2833,1.78,89,77,2.84,broken clouds
160,College,US,64.8569,-147.8028,26.6,59,90,8.05,overcast clouds
161,Husavik,IS,66.0449,-17.3389,17.6,86,90,10.36,snow
162,Dzilam Gonzalez,MX,21.2833,-88.9333,92.59,32,58,9.89,broken clouds
163,Ontario,US,34.0633,-117.6509,81.0,13,20,9.22,few clouds
164,Severnoye,RU,56.3491,78.3619,21.42,99,100,2.21,overcast clouds
165,Adre,TD,13.4667,22.2,73.44,15,55,23.64,broken clouds
166,Tutoia,BR,-2.7619,-42.2744,76.57,87,99,10.4,overcast clouds
167,Coquimbo,CL,-29.9533,-71.3436,59.0,88,75,9.22,broken clouds
168,Weihai,CN,37.5017,122.1136,43.61,90,31,4.88,scattered clouds
169,Longyearbyen,SJ,78.2186,15.6401,26.6,80,90,35.68,snow
170,Wattegama,LK,6.7989,81.4808,73.85,81,78,1.79,heavy intensity rain
171,Roald,NO,62.5833,6.1333,37.4,87,90,4.61,overcast clouds
172,Kalmunai,LK,7.4167,81.8167,78.04,80,85,1.36,overcast clouds
173,Peruibe,BR,-24.32,-46.9983,77.13,88,6,2.73,clear sky
174,Coihaique,CL,-45.5752,-72.0662,57.2,77,75,12.66,broken clouds
175,Coronado,US,32.6859,-117.1831,75.99,45,20,11.5,few clouds
176,Roblin,CA,51.23,-101.3565,26.74,71,61,11.16,broken clouds
177,Burnie,AU,-41.0667,145.9167,58.26,71,29,10.56,scattered clouds
178,Assiniboia,CA,49.6334,-105.9845,41.0,33,6,13.8,clear sky
179,Ambon,ID,-3.6954,128.1814,77.0,94,20,3.44,moderate rain
180,Brokopondo,SR,4.75,-55.1667,76.53,86,58,10.51,broken clouds
181,Rio Grande,BR,-32.035,-52.0986,72.0,95,100,3.96,light rain
182,Port Elizabeth,ZA,-33.918,25.5701,62.6,67,0,11.5,clear sky
183,Changji,CN,44.0167,87.3167,46.4,66,0,8.95,clear sky
184,Clyde River,CA,70.4692,-68.5914,-4.0,77,75,3.44,broken clouds
185,Isangel,VU,-19.55,169.2667,82.4,78,20,7.38,few clouds
186,Victoria,HK,22.2855,114.1577,75.0,85,11,4.36,few clouds
187,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,84.2,79,20,2.86,few clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,79.0,49,20,11.5,few clouds
189,Jinka,ET,5.65,36.65,69.87,41,100,1.25,overcast clouds
190,Isiolo,KE,0.3546,37.5822,70.61,53,100,4.43,overcast clouds
191,Avarua,CK,-21.2078,-159.775,86.0,74,90,18.41,overcast clouds
192,Khrebtovaya,RU,56.7032,104.2494,8.85,98,92,4.03,overcast clouds
193,Kazachinskoye,RU,57.6953,93.2761,27.86,97,100,4.59,light snow
194,Port Blair,IN,11.6667,92.75,80.62,79,98,1.59,overcast clouds
195,Baijiantan,CN,45.6333,85.1833,42.13,70,34,9.46,scattered clouds
196,Jutai,BR,-5.1833,-68.9,75.16,94,93,1.1,overcast clouds
197,Lagoa,PT,39.05,-27.9833,59.25,89,23,10.58,few clouds
198,Umm Lajj,SA,25.0213,37.2685,69.93,51,5,19.86,clear sky
199,Tautira,PF,-17.7333,-149.15,87.8,55,40,9.22,light rain
200,Ilulissat,GL,69.2167,-51.1,-14.8,53,3,2.3,clear sky
201,Inirida,CO,3.8653,-67.9239,75.6,94,71,2.21,broken clouds
202,Fortuna,US,40.5982,-124.1573,64.0,77,20,18.41,few clouds
203,Talnakh,RU,69.4865,88.3972,-3.12,99,71,1.36,broken clouds
204,Milkovo,RU,54.7167,158.6167,21.78,82,100,3.62,light snow
205,Tayoltita,MX,24.0833,-105.9333,81.39,12,27,8.5,scattered clouds
206,Prince George,CA,53.9166,-122.753,45.0,70,90,18.41,light rain
207,Lorengau,PG,-2.0226,147.2712,82.0,81,94,8.57,overcast clouds
208,Eufaula,US,31.8913,-85.1455,84.2,54,75,9.22,broken clouds
209,Waipawa,NZ,-41.4122,175.5153,68.0,64,90,19.57,overcast clouds
210,Tura,IN,25.5198,90.2201,69.91,15,0,2.66,clear sky
211,Paamiut,GL,61.994,-49.6678,1.26,79,4,26.19,clear sky
212,Bozoum,CF,6.3193,16.3799,75.07,60,73,3.83,light rain
213,Ellisras,ZA,-23.6649,27.7443,70.56,37,16,4.21,few clouds
214,Oum Hadjer,TD,13.2954,19.6966,81.95,12,12,18.12,few clouds
215,San Quintin,MX,30.4833,-115.95,66.65,38,0,11.61,clear sky
216,Along,IN,28.1667,94.7667,58.23,46,0,1.72,clear sky
217,Antofagasta,CL,-23.65,-70.4,62.6,77,20,11.5,few clouds
218,Kavaratti,IN,10.5669,72.642,82.51,78,100,3.18,overcast clouds
219,Sitka,US,57.0531,-135.33,37.4,75,75,5.75,light snow
220,Hilo,US,19.7297,-155.09,75.2,78,90,6.91,moderate rain
221,Aylesbury,GB,51.8167,-0.8146,48.0,80,100,7.0,overcast clouds
222,Skibbereen,IE,51.55,-9.2667,48.2,100,75,28.77,broken clouds
223,Amapa,BR,1.0,-52.0,72.05,98,100,3.24,moderate rain
224,Ternate,ID,0.8,127.4,79.81,87,100,11.12,heavy intensity rain
225,Panama City,PA,8.9936,-79.5197,89.6,55,20,17.27,few clouds
226,Aklavik,CA,68.2191,-135.0107,-2.2,60,20,8.05,few clouds
227,Shwebo,MM,22.5667,95.7,79.16,21,97,4.09,overcast clouds
228,Mount Isa,AU,-20.7333,139.5,84.2,23,37,18.41,scattered clouds
229,Trenggalek,ID,-8.05,111.7167,75.2,93,97,2.55,overcast clouds
230,Namibe,AO,-15.1961,12.1522,74.82,76,100,3.31,light rain
231,Qui Nhon,VN,13.7667,109.2333,73.85,90,99,4.18,overcast clouds
232,El Tocuyo,VE,9.7873,-69.7937,74.73,67,100,2.3,overcast clouds
233,Itarema,BR,-2.9248,-39.9167,76.28,86,53,8.12,broken clouds
234,Dukat,RU,62.55,155.55,3.81,75,54,2.04,broken clouds
235,Lompoc,US,34.6391,-120.4579,71.01,55,0,17.27,clear sky
236,Manaure,CO,11.7751,-72.4445,82.53,58,41,21.94,scattered clouds
237,Khatanga,RU,71.9667,102.5,-0.22,97,99,8.03,overcast clouds
238,Hambantota,LK,6.1241,81.1185,77.0,79,84,4.74,broken clouds
239,Kemijarvi,FI,66.7131,27.4306,36.68,96,100,11.41,light rain
240,Kampot,KH,10.6167,104.1833,82.4,74,20,3.44,few clouds
241,Hailar,CN,49.2,119.7,35.67,64,44,9.42,scattered clouds
242,Myitkyina,MM,25.3833,97.4,61.25,36,0,1.99,clear sky
